similarity_id,entity_type,source_entity_id,target_entity_id,model_version,similarity_score,reason_json,generated_at
SIM_AC_AC00052_AC00060,ACCOUNT,AC00052,AC00060,v1.1,0.844,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_AC_AC00053_AC00001,ACCOUNT,AC00053,AC00001,v1.1,0.856,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_AC_AC00054_AC00002,ACCOUNT,AC00054,AC00002,v1.1,0.868,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_AC_AC00055_AC00003,ACCOUNT,AC00055,AC00003,v1.1,0.88,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_AC_AC00056_AC00004,ACCOUNT,AC00056,AC00004,v1.1,0.892,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_AC_AC00057_AC00005,ACCOUNT,AC00057,AC00005,v1.1,0.904,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_AC_AC00058_AC00006,ACCOUNT,AC00058,AC00006,v1.1,0.916,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_AC_AC00059_AC00007,ACCOUNT,AC00059,AC00007,v1.1,0.928,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_AC_AC00060_AC00008,ACCOUNT,AC00060,AC00008,v1.1,0.7,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P001_P009,PRODUCT,P001,P009,v1.1,0.712,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P002_P010,PRODUCT,P002,P010,v1.1,0.724,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P003_P011,PRODUCT,P003,P011,v1.1,0.736,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P004_P012,PRODUCT,P004,P012,v1.1,0.748,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P005_P013,PRODUCT,P005,P013,v1.1,0.76,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P006_P014,PRODUCT,P006,P014,v1.1,0.772,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P007_P015,PRODUCT,P007,P015,v1.1,0.784,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P008_P016,PRODUCT,P008,P016,v1.1,0.796,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P009_P017,PRODUCT,P009,P017,v1.1,0.808,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P010_P018,PRODUCT,P010,P018,v1.1,0.82,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P011_P019,PRODUCT,P011,P019,v1.1,0.832,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P012_P020,PRODUCT,P012,P020,v1.1,0.844,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P013_P021,PRODUCT,P013,P021,v1.1,0.856,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P014_P022,PRODUCT,P014,P022,v1.1,0.868,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P015_P023,PRODUCT,P015,P023,v1.1,0.88,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P016_P024,PRODUCT,P016,P024,v1.1,0.892,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P017_P025,PRODUCT,P017,P025,v1.1,0.904,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P018_P026,PRODUCT,P018,P026,v1.1,0.916,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P019_P027,PRODUCT,P019,P027,v1.1,0.928,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P020_P028,PRODUCT,P020,P028,v1.1,0.7,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P021_P029,PRODUCT,P021,P029,v1.1,0.712,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P022_P030,PRODUCT,P022,P030,v1.1,0.724,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P023_P031,PRODUCT,P023,P031,v1.1,0.736,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P024_P032,PRODUCT,P024,P032,v1.1,0.748,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P025_P001,PRODUCT,P025,P001,v1.1,0.76,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P026_P002,PRODUCT,P026,P002,v1.1,0.772,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P027_P003,PRODUCT,P027,P003,v1.1,0.784,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P028_P004,PRODUCT,P028,P004,v1.1,0.796,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P029_P005,PRODUCT,P029,P005,v1.1,0.808,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P030_P006,PRODUCT,P030,P006,v1.1,0.82,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P031_P007,PRODUCT,P031,P007,v1.1,0.832,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
SIM_PR_P032_P008,PRODUCT,P032,P008,v1.1,0.844,"[""normalized feature distance"", ""graph neighborhood overlap"", ""behavior profile""]",2026-07-01
