goal_id,goal_name,goal_type,target_value,target_unit,start_date,end_date,status,advisor_id,program_id
GOAL000181,NNM Growth Goal for ADV0061,NNM Growth,2640159.75,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0061,AGP2025
GOAL000182,New Households Goal for ADV0061,New Households,27,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0061,AGP2025
GOAL000183,Managed Revenue Goal for ADV0061,Managed Revenue,705620.04,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0061,AGP2025
GOAL000184,NNM Growth Goal for ADV0062,NNM Growth,4852132.09,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0062,AGP2025
GOAL000185,New Households Goal for ADV0062,New Households,15,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0062,AGP2025
GOAL000186,Managed Revenue Goal for ADV0062,Managed Revenue,708405.65,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0062,AGP2025
GOAL000187,NNM Growth Goal for ADV0063,NNM Growth,2534354.04,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0063,AGP2025
GOAL000188,New Households Goal for ADV0063,New Households,13,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0063,AGP2025
GOAL000189,Managed Revenue Goal for ADV0063,Managed Revenue,739449.25,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0063,AGP2025
GOAL000190,NNM Growth Goal for ADV0064,NNM Growth,4402646.0,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0064,AGP2025
GOAL000191,New Households Goal for ADV0064,New Households,16,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0064,AGP2025
GOAL000192,Managed Revenue Goal for ADV0064,Managed Revenue,469054.74,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0064,AGP2025
GOAL000193,NNM Growth Goal for ADV0065,NNM Growth,2779376.76,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0065,AGP2025
GOAL000194,New Households Goal for ADV0065,New Households,29,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0065,AGP2025
GOAL000195,Managed Revenue Goal for ADV0065,Managed Revenue,379661.6,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0065,AGP2025
