feedback_id,feedback_action,feedback_reason,reward_score,created_ts,status,recommendation_id
FDBK00000283,completed,Advisor accepted recommendation.,1.0141,2025-12-31 00:00:00,Active,REC00000480
FDBK00000284,rejected,Completed with positive outcome.,-0.3076,2025-12-31 00:00:00,Active,REC00000487
FDBK00000285,completed,Completed with positive outcome.,0.9116,2025-12-31 00:00:00,Active,REC00000488
FDBK00000286,accepted,Not suitable for client.,0.7664,2025-12-31 00:00:00,Active,REC00000489
FDBK00000287,completed,Completed with positive outcome.,1.0247,2025-12-31 00:00:00,Active,REC00000492
FDBK00000288,rejected,Needs more client context.,-0.194,2025-12-31 00:00:00,Active,REC00000493
FDBK00000289,accepted,Advisor accepted recommendation.,0.6936,2025-12-31 00:00:00,Active,REC00000494
FDBK00000290,completed,Completed with positive outcome.,1.0203,2025-12-31 00:00:00,Active,REC00000495
FDBK00000291,completed,Completed with positive outcome.,0.8768,2025-12-31 00:00:00,Active,REC00000497
FDBK00000292,completed,Needs more client context.,0.8728,2025-12-31 00:00:00,Active,REC00000498
FDBK00000293,completed,Completed with positive outcome.,0.8724,2025-12-31 00:00:00,Active,REC00000499
FDBK00000294,accepted,Advisor accepted recommendation.,0.8085,2025-12-31 00:00:00,Active,REC00000502
FDBK00000295,accepted,Advisor accepted recommendation.,0.7639,2025-12-31 00:00:00,Active,REC00000503
FDBK00000296,completed,Needs more client context.,1.01,2025-12-31 00:00:00,Active,REC00000508
FDBK00000297,accepted,Advisor accepted recommendation.,0.8065,2025-12-31 00:00:00,Active,REC00000510
FDBK00000298,accepted,Not suitable for client.,0.712,2025-12-31 00:00:00,Active,REC00000512
FDBK00000299,completed,Not suitable for client.,1.0001,2025-12-31 00:00:00,Active,REC00000513
FDBK00000300,completed,Completed with positive outcome.,0.9325,2025-12-31 00:00:00,Active,REC00000515
FDBK00000301,completed,Not suitable for client.,0.8713,2025-12-31 00:00:00,Active,REC00000517
FDBK00000302,completed,Completed with positive outcome.,0.9087,2025-12-31 00:00:00,Active,REC00000518
